host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,bedrooms_na,bathrooms_na,beds_na,review_scores_rating_na,review_scores_accuracy_na,review_scores_cleanliness_na,review_scores_checkin_na,review_scores_communication_na,review_scores_location_na,review_scores_value_na,index
f,flexible,f,1.0,Outer Mission,37.71969,-122.44378,House,Private room,2.0,1.0,0.0,2.0,Real Bed,1.0,24.0,86.0,9.0,9.0,10.0,10.0,9.0,9.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
f,moderate,f,1.0,South of Market,37.77971,-122.39536,Apartment,Private room,2.0,1.0,2.0,2.0,Real Bed,30.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
f,moderate,f,1.0,Noe Valley,37.74207,-122.43069,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,Real Bed,1.0,314.0,95.0,9.0,10.0,10.0,10.0,10.0,9.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
f,moderate,f,1.0,Outer Mission,37.72771,-122.44015,Apartment,Entire home/apt,5.0,2.0,3.0,3.0,Real Bed,3.0,16.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
f,strict_14_with_grace_period,f,1.0,Outer Richmond,37.77328,-122.50937,Condominium,Private room,1.0,1.0,1.0,1.0,Real Bed,30.0,2.0,80.0,10.0,10.0,10.0,10.0,10.0,8.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69
f,moderate,t,12.0,Excelsior,37.72644,-122.41875,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,Real Bed,30.0,69.0,90.0,9.0,9.0,10.0,9.0,9.0,9.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
t,strict_14_with_grace_period,t,4.0,Twin Peaks,37.75726,-122.44502,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,36.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
t,moderate,t,4.0,Outer Richmond,37.77241,-122.50169,House,Private room,2.0,1.0,1.0,1.0,Real Bed,1.0,139.0,95.0,10.0,10.0,10.0,9.0,9.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72
t,moderate,f,3.0,Excelsior,37.72593,-122.43337,House,Private room,2.0,1.5,1.0,1.0,Real Bed,2.0,118.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
f,flexible,f,1.0,Nob Hill,37.79455,-122.41355,House,Entire home/apt,2.0,1.0,0.0,1.0,Real Bed,30.0,1.0,80.0,4.0,8.0,8.0,8.0,10.0,6.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
t,moderate,t,1.0,Outer Richmond,37.77445,-122.50441,House,Entire home/apt,6.0,2.5,3.0,3.0,Real Bed,3.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,350.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75
t,strict_14_with_grace_period,f,3.0,Castro/Upper Market,37.7603,-122.43873,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,30.0,15.0,99.0,9.0,9.0,10.0,10.0,10.0,9.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
f,strict_14_with_grace_period,f,5.0,Haight Ashbury,37.77042,-122.45019,House,Private room,2.0,2.0,1.0,1.0,Real Bed,1.0,369.0,89.0,10.0,9.0,10.0,10.0,10.0,9.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
t,flexible,f,3.0,South of Market,37.77227,-122.40676,Loft,Entire home/apt,2.0,1.0,1.0,0.0,Real Bed,2.0,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
